frame,min (deg),max (deg),mean (deg),std (deg),var (deg)
0,4.1191597119905055e-05,359.9999694824219,133.6101090436756,128.09276784380714,16407.757173887472
1,0.00041417437023483217,359.9991760253906,164.27762955626176,135.72594842601015,18421.533076139964
2,2.1487614503712393e-05,359.99993896484375,159.91414921960853,131.68301803520856,17340.417238861064
3,0.0003077529836446047,359.9999694824219,173.2008502994589,133.87428405539944,17922.323931345774
4,0.0009308923035860062,359.9999694824219,179.03640705145318,130.14085954240332,16936.64332243555
5,0.0005547472974285483,360.0,185.55769082035198,120.93908671544797,14626.262695566644
6,0.00018919375725090504,359.9999694824219,183.7154159133614,116.99801166103695,13688.53473263614
7,3.571069100871682e-05,359.9999694824219,185.1828949900162,119.74159335207088,14338.049178492705
8,0.000118144293082878,360.0,178.5950310378562,122.2223931251683,14938.313381243188
9,0.0003085055504925549,359.9994812011719,188.6937924015806,117.70766128627778,13855.093525485097
10,6.376578676281497e-05,359.9999084472656,169.252950012476,118.65877755239528,14079.905490228824
11,6.255937478272244e-05,359.9998474121094,188.900091801503,118.88604506860693,14133.891712054838
12,0.00010574237239779904,359.9994812011719,180.44511486854094,116.100331715753,13479.287024507881
13,0.00012035479448968545,359.99981689453125,166.24163117358535,114.54585141044662,13120.752075344115
14,0.0005470657488331199,359.9987487792969,168.98361196599424,116.36439804920079,13540.673133352844
15,7.919317431515083e-05,359.99969482421875,166.00617617813802,112.00282134696971,12544.631989681215
16,0.00024657134781591594,359.99945068359375,175.60642783584927,116.31664590206097,13529.562113905438
17,3.151881628582487e-06,359.99993896484375,166.1006704867347,113.80330231544235,12951.191617899967
18,0.00020123485592193902,359.9996032714844,179.08257031609475,111.85949105162715,12512.545738329054
