frame,min (deg),max (deg),mean (deg),std (deg),var (deg)
0,0.00029096074285916984,359.9999694824219,126.01702077801178,124.56400771337529,15516.192017617817
1,2.8227657821844332e-05,359.9996032714844,161.7462191290867,135.633649232127,18396.48680402366
2,0.0004932750016450882,359.9999084472656,161.90963948039735,131.18134085413976,17208.54418829
3,7.080871000653133e-06,359.99993896484375,169.1335876950911,133.4385036780875,17805.83426384697
4,0.00010494155867490917,360.0,181.32741012360785,130.6718432739382,17075.130624608668
5,0.0006245843833312392,359.99993896484375,186.16165417955202,121.75567220964285,14824.443715221998
6,3.41339546139352e-05,359.9995422363281,180.74708383201204,117.33444454690581,13767.371877130916
7,0.0001290454965783283,359.9998779296875,183.3746435888131,119.9241251779705,14381.795799701536
8,0.0003882931196130812,359.9999084472656,177.64376759426494,123.0058515179989,15130.439507667992
9,8.158937816915568e-06,360.0,186.81824005313135,118.58090437200953,14061.430881683667
10,1.2300843991397414e-05,359.9993896484375,170.76801199444137,118.37526656452967,14012.703734223454
11,0.00034890914685092866,359.9998779296875,187.6302054268518,118.84523599882456,14124.190119616305
12,5.813742245663889e-05,359.9997253417969,180.3445456625486,117.25317387229711,13748.306783127136
13,4.078894198755734e-05,359.9999084472656,168.80403285795884,114.88179377508837,13197.826540981934
14,0.00012251875887159258,359.99969482421875,171.0974941377368,117.22180073187799,13740.95056682411
15,0.00039047320024110377,359.9999694824219,170.32636532630164,113.06711793033399,12784.173157072053
16,0.0008087193127721548,359.9996643066406,177.6868569760023,117.53209387765177,13813.79309126515
17,0.0002055803925031796,359.9999694824219,166.11334719285898,114.20422961969221,13042.606063027384
18,0.0006548380479216576,359.9985656738281,180.10843898865758,112.24606142633147,12599.178305723777
